Elo_Ranking,ID,Name,Elo
874.0,284,G Washington,453.2722450165385
873.0,156,Pepperdine,453.25385015657235
872.0,351,Georgetown,452.42046701742674
871.0,195,New Hampshire,451.1297868572775
870.0,334,ULM,451.08758858778486
869.0,4,Texas Tech,450.90226318827825
868.0,280,Charleston So,450.66680195638986
867.0,96,Washington,450.5255338547333
866.0,664,Morehead State,449.98871693797287
865.0,243,Santa Barbara,449.3069570201158
864.0,676,UC-Santa Barbara,449.2684315102365
863.0,131,CS Sacramento,448.7276443859218
862.0,84,Stanford,448.02749773506446
861.0,75,Northwestern LA,448.0157229923472
860.0,378,Bowling Green,447.6520283470688
859.0,76,Northwestern,446.5780075016808
858.0,126,Marquette,446.5018300088783
857.0,186,Georgia Tech,446.28493314839346
856.0,302,E Kentucky,445.3550535278509
855.0,717,Coastal Carolina,445.25160021120683
854.0,775,Tennessee State,445.19922759465516
853.0,202,E Michigan,444.90082788710737
852.0,60,TAM C. Christi,444.5159446220621
851.0,366,W Kentucky,443.2150363420718
850.0,398,W Michigan,443.12087281418434
849.0,86,UCLA,442.85250907789367
848.0,654,Illinois State,442.4811148064437
847.0,806,Florida Gulf Coast,442.4357808606899
846.0,192,Clemson,441.39666132877886
845.0,731,Milwaukee,441.22800084671934
844.0,745,Southern,440.99200571230415
843.0,70,ULL,440.85950622997706
842.0,645,Northern Illinois,440.68452356978094
841.0,835,Kent State,440.25774070619593
840.0,746,North Dakota State,440.09735321489586
839.0,335,UAB,439.7762271043249
838.0,170,Bucknell,439.07921964599456
837.0,237,NJIT,438.7841932841992
836.0,103,Lehigh,438.5798702581408
835.0,188,Virginia Tech,436.97198788768753
834.0,138,Idaho,436.9330282125658
833.0,16,Alabama St,436.70651014981837
832.0,360,Gardner Webb,436.0182074359657
831.0,254,Richmond,435.45089006261384
830.0,8,Loyola-Chicago,434.7030573417727
829.0,132,Utah St,434.44465352952614
828.0,256,Oklahoma St,433.5400911649375
827.0,677,Nebraska-Omaha,433.0887309836013
826.0,727,Eastern Michigan,432.0154608249549
825.0,169,Cleveland St,431.62320868027945
824.0,127,TN Martin,430.6849400895378
823.0,330,St Bonaventure,430.68405987947375
822.0,649,Tennessee-Martin,430.29373831738883
821.0,12,Norfolk St,429.841891453552
820.0,354,UNC Wilmington,429.11012423912763
819.0,735,Central Michigan,428.1888874209304
818.0,753,Ball State,426.9887121135103
817.0,167,Siena,426.8189060625564
816.0,255,Radford,426.2747500128258
815.0,680,Nevada-Las Vegas,426.1278535597771
814.0,402,Toledo,425.9609926258077
813.0,239,Wagner,425.8868462382869
812.0,142,Arizona St,425.3490055811743
811.0,36,Creighton,424.8456874820503
810.0,766,Kansas State,424.45697402807747
809.0,355,Florida St,424.31262566259255
808.0,719,South Carolina State,423.6202095771554
807.0,810,Western Kentucky,423.51193494186134
806.0,755,Boston University,423.42465180090636
805.0,206,MTSU,422.7889187091105
804.0,679,Texas Southern,422.5520411763942
803.0,814,Sam Houston State,422.40145227612834
802.0,146,California,422.2721997606598
801.0,26,Illinois,422.08808229307
800.0,815,Texas-El Paso,421.91748332068425
799.0,683,Fairleigh Dickinson,421.5420548379663
798.0,760,Louisiana-Lafayette,421.3523020848944
797.0,92,UNLV,421.0435615418059
796.0,294,Mercer,420.4666894713822
795.0,799,Penn State,420.0307052149691
794.0,104,Tennessee Tech,419.9453538065428
793.0,724,Western Carolina,419.3273849172042
792.0,15,E Illinois,419.0316438716961
791.0,189,MD E Shore,418.8619402706897
790.0,223,Monmouth NJ,418.7132603707856
789.0,79,Towson,418.3813379744577
788.0,671,North Carolina State,417.415147701646
787.0,807,Colorado State,417.3635822640472
786.0,270,TCU,416.76342981441877
785.0,856,Detroit Mercy,416.5216481184288
784.0,298,Penn St,415.3490319862249
783.0,718,College of Charleston,415.2635006564877
782.0,663,Murray State,415.1511257398233
781.0,144,Oregon St,414.78732011731387
780.0,403,Wyoming,413.81106253370797
779.0,93,Morehead St,412.8058542980623
778.0,744,Arizona State,412.57309666888017
777.0,692,Utah State,410.23419034004763
776.0,152,New Mexico,409.53117703678345
775.0,208,Army,409.11260314615095
774.0,595,Ferris St,408.6749155402011
773.0,21,Southern Univ,408.4566235250897
772.0,560,SE Oklahoma,408.4202789804405
771.0,942,Wiley,407.8175078790033
770.0,878,Warner Southern,407.8158257405152
769.0,538,Univ Sciences,407.68895660709364
768.0,881,Roanoke,407.6815742157428
767.0,917,William Carey,407.6503683392103
766.0,941,Texas-Permian Basin,407.2539120569097
765.0,801,Norfolk State,406.8903890913725
764.0,555,Caldwell,406.78161420909345
763.0,613,Concordia AL,406.5383066962458
762.0,673,Houston Baptist,406.1628140494914
761.0,792,Gardner-Webb,406.0967446626239
760.0,640,Jackson State,405.34659513071006
759.0,157,Fresno St,405.23487198137343
758.0,263,Long Beach St,404.1496208404192
757.0,660,Mississippi State,404.0399045470125
756.0,368,Delaware St,403.33218308597856
755.0,6,Kansas St,403.05089147942186
754.0,661,Eastern Washington,403.0062178808593
753.0,325,Nevada,402.73782564946544
752.0,266,Indiana St,402.34677911717324
751.0,312,Marshall,402.01779185856765
750.0,795,Idaho State,401.70520637875575
749.0,3,ETSU,401.6241096511309
748.0,251,American Univ,401.3418475145065
747.0,83,WI Milwaukee,401.01008022110426
746.0,114,Fordham,400.69055112293336
745.0,338,Portland St,400.26996419240083
744.0,39,Furman,400.2022685974464
743.0,166,Massachusetts,399.6700448863404
742.0,47,Mt St Mary's,398.7219453872501
741.0,850,Louisiana State-Alexandria,398.69810641866326
740.0,782,Georgia State,398.51194123120797
739.0,225,Tennessee,398.33839252737806
738.0,319,Oral Roberts,398.1010127416949
737.0,376,N Illinois,397.62382351959366
736.0,793,Indiana State,397.3954245432383
735.0,397,Nebraska,397.32792422624357
734.0,272,UT Arlington,396.8906266777878
733.0,1028,Bowie State,396.34033968093917
732.0,703,Savannah State,396.01554522377336
731.0,978,Saint Martin's,395.7757395159706
730.0,927,Dubuque,395.48388574369073
729.0,1004,Western Oregon,395.2758596255873
728.0,1001,College of Idaho,395.044987302901
727.0,984,Hardin-Simmons,394.88798324044404
726.0,938,Denison,394.77540856364317
725.0,19,Navy,394.72643588982055
724.0,830,Bowling Green State,394.57119842030863
723.0,134,N Colorado,394.57001844356637
722.0,179,UNC Asheville,394.47758711795314
721.0,212,Florida Intl,394.47155638854883
720.0,387,San Francisco,394.34902418612313
719.0,1027,Benedictine (AZ),394.227149977703
718.0,777,Millsaps,394.19413910846686
717.0,756,Pittsburgh-Bradford,394.16213108487227
716.0,976,Virginia Wise,394.1574521294178
715.0,952,Kentucky Christian,394.15738069581323
714.0,1012,Francis Marion,394.1429199904025
713.0,785,Massachusetts Institute of Technology,394.1287953482649
712.0,259,St Francis PA,394.0336361494246
711.0,637,Texas Col,394.0018077016055
710.0,1003,Methodist,393.8861677580746
709.0,967,Coastal Georgia,393.82587047050043
708.0,385,Denver,393.809959357801
707.0,973,Hawaii Pacific,393.74069902889954
706.0,870,Wentworth,393.682634813666
705.0,1021,Ryerson,393.6806049180825
704.0,567,Arkansas-FS,393.5403072909721
703.0,812,Merchant Marine Academy,393.5220691919557
702.0,961,John Brown,393.46957198470574
701.0,594,Goshen,393.4620394933893
700.0,1023,Bryn Athyn,393.4498349826902
699.0,935,Farmingdale State,393.4113892174688
698.0,1026,Northern New Mexico,393.40352207948615
697.0,1020,Purdue North Central,393.33540704427236
696.0,989,Mary Washington,393.3140257374829
695.0,940,Maine-Fort Kent,393.1784136669175
694.0,928,Tabor College,393.17135327567337
693.0,860,Hiram,393.11282312734113
692.0,817,West Virginia Tech,393.10688451808767
691.0,958,Worcester State,393.0327253048406
690.0,559,Trinity IL,392.9892908165338
689.0,551,Regis CO,392.98840335603035
688.0,875,Marian,392.9356573394472
687.0,600,Coast Guard,392.93155259775216
686.0,605,Midwest TX St,392.91413855303284
685.0,639,Sarah Lawrence,392.90596146881484
684.0,953,Dallas Christian,392.90420918660936
683.0,618,Cal Maritime,392.8900570152257
682.0,778,Loyola (IL),392.8746832036586
681.0,623,St Rose,392.8735914273493
680.0,864,Molloy,392.8578558303008
679.0,678,Lyndon State,392.8500812252202
678.0,757,Shenandoah,392.8471976264583
677.0,947,Wayne State (NE),392.8344776484898
676.0,997,Montana Western,392.82210476791147
675.0,598,Lewis & Clark,392.81167351041074
674.0,866,Saint Joseph's (IN),392.7839984617047
673.0,636,Fisher,392.74363416174754
672.0,638,ME Ft Kent,392.7405836473892
671.0,950,Silver Lake,392.7388679918366
670.0,954,Master's,392.7233219062654
669.0,634,Baker KS,392.7054571057819
668.0,951,Fort Lewis,392.7022923247979
667.0,574,Susquehanna,392.69796384910967
666.0,597,Lewis-Clark ID,392.6408316922409
665.0,926,East Mennonite,392.6118359392637
664.0,606,S Arkansas,392.5834761914508
663.0,525,MN Duluth,392.57928572665685
662.0,1015,Trevecca Nazarene,392.5741662197627
661.0,219,W Carolina,392.57081111430375
660.0,496,Clayton St,392.54762387022
659.0,582,Stillman,392.5410634968344
658.0,499,Texas A&M Intl,392.53066311901205
657.0,930,Thomas More,392.5121771187099
656.0,1029,St. Catharine,392.5098431220632
655.0,879,Black Hills State,392.4660415335884
654.0,1009,Western State,392.46502408746943
653.0,946,Cal State Dominguez Hills,392.45795934392083
652.0,141,Seattle,392.42943917835936
651.0,620,North Alabama,392.4236930078552
650.0,963,Arkansas-Fort Smith,392.40478902303704
649.0,943,Paul Quinn,392.40352468019637
648.0,924,Cal State Los Angeles,392.39160263112296
647.0,485,TX A&M K'ville,392.36815339676093
646.0,494,Nichols,392.3680560090258
645.0,461,S Virginia,392.36805595619364
643.5,900,Union (TN),392.3639215058281
643.5,493,Newman,392.3639215058281
642.0,476,FL Memorial,392.3638241133692
640.5,437,NW Oklahoma St,392.3596938945653
640.5,447,WV Tech,392.3596938945653
639.0,532,TX Lutheran,392.35170922707425
638.0,899,Embry-Riddle Aeronautical University,392.3514319068603
637.0,1007,Regis,392.35060632224076
636.0,501,Peace,392.34720823886187
635.0,583,Washington MD,392.33874205954595
634.0,993,Fisher College,392.3377058010534
633.0,563,MI Dearborn,392.3126426373785
632.0,589,Bluffton,392.296668424576
631.0,998,Johnson & Wales,392.2878456746336
630.0,666,Northern Michigan,392.2744761247384
629.0,959,Henderson State,392.2725847628989
628.0,1010,Arizona Christian,392.26213361960515
627.0,643,Oregon Tech,392.25711983541015
626.0,957,Biola,392.2547904380854
625.0,607,Alice Lloyd,392.23648761380235
624.0,996,Wisconsin-Superior,392.2229436153394
623.0,939,Madonna,392.20319366765676
622.0,502,Mt Ida,392.2000515482963
617.0,384,OH Dominican,392.1841742594848
617.0,432,FDU Madison,392.1841742594848
617.0,419,Cal Lutheran,392.1841742594848
617.0,416,Bap Bible PA,392.1841742594848
617.0,428,Erskine,392.1841742594848
617.0,414,McKendree,392.1841742594848
617.0,439,Corban,392.1841742594848
617.0,865,Dickinson State (ND),392.1841742594848
617.0,897,Emmanuel,392.1841742594848
612.0,455,Notre Dame CA,392.1799356867292
611.0,458,Hawaii Hilo,392.175701503588
610.0,510,Univ of Southwest,392.1678046926017
609.0,630,St Joseph's NY,392.16102675683123
608.0,586,Wilberforce,392.15610182103234
607.0,770,Austin College,392.0911887075534
606.0,1017,Boyce,392.07938053042517
605.0,633,Tabor,392.05793499220977
604.0,628,Lyndon St,392.0455406705426
603.0,905,Emporia State,392.0408192976792
602.0,1016,Lourdes,392.0211370445333
601.0,922,South Dakota School of Mines,392.01983974712255
600.0,920,Michigan-Dearborn,392.01764043682226
599.0,570,Mitchell,392.01684395341636
598.0,902,Siena Heights,392.0142952024751
597.0,569,Centenary,392.013238323236
596.0,616,Hampden-Sydney,392.01211363405037
595.0,456,Simpson CA,392.00847704206046
594.0,503,AK Anchorage,392.00028963563034
573.0,63,Mississippi Col,392.0
573.0,59,TN Temple,392.0
573.0,486,Johnson FL,392.0
573.0,35,Berry,392.0
573.0,457,S Vermont,392.0
573.0,454,Missouri S&T,392.0
573.0,25,UT Tyler,392.0
573.0,1,Randolph Col,392.0
